date,store_id,city,product,units_sold,price,revenue
2025-04-07,S01,Mumbai,Espresso,7,51.74,362.18
2025-04-07,S01,Mumbai,Latte,3,60.79,182.37
2025-04-07,S01,Mumbai,Cappuccino,3,96.96,290.88
2025-04-07,S01,Mumbai,Americano,2,109.69,219.38
2025-04-07,S01,Mumbai,Mocha,4,127.21,508.84
2025-04-07,S02,Delhi,Espresso,8,52.61,420.88
2025-04-07,S02,Delhi,Latte,2,72.39,144.78
2025-04-07,S02,Delhi,Cappuccino,9,91.26,821.34
2025-04-07,S02,Delhi,Americano,3,112.08,336.24
2025-04-07,S02,Delhi,Mocha,4,122.57,490.28
2025-04-07,S03,Bengaluru,Espresso,7,40.78,285.46
2025-04-07,S03,Bengaluru,Latte,3,62.4,187.2
2025-04-07,S03,Bengaluru,Cappuccino,3,88.74,266.22
2025-04-07,S03,Bengaluru,Americano,2,102.5,205.0
2025-04-07,S03,Bengaluru,Mocha,2,134.24,268.48
2025-04-07,S04,Chennai,Espresso,4,42.9,171.6
2025-04-07,S04,Chennai,Latte,3,68.89,206.67
2025-04-07,S04,Chennai,Cappuccino,8,81.43,651.44
2025-04-07,S04,Chennai,Americano,5,115.05,575.25
2025-04-07,S04,Chennai,Mocha,6,123.93,743.58
2025-04-07,S05,Kolkata,Espresso,9,46.47,418.23
2025-04-07,S05,Kolkata,Latte,8,65.88,527.04
2025-04-07,S05,Kolkata,Cappuccino,2,88.5,177.0
2025-04-07,S05,Kolkata,Americano,5,128.56,642.8
2025-04-07,S05,Kolkata,Mocha,6,130.99,785.94
2025-04-08,S01,Mumbai,Espresso,8,50.2,401.6
2025-04-08,S01,Mumbai,Latte,6,64.26,385.56
2025-04-08,S01,Mumbai,Cappuccino,3,81.6,244.8
2025-04-08,S01,Mumbai,Americano,4,122.32,489.28
2025-04-08,S01,Mumbai,Mocha,6,139.96,839.76
2025-04-08,S02,Delhi,Espresso,6,46.78,280.68
2025-04-08,S02,Delhi,Latte,7,79.58,557.06
2025-04-08,S02,Delhi,Cappuccino,4,94.2,376.8
2025-04-08,S02,Delhi,Americano,4,104.1,416.4
2025-04-08,S02,Delhi,Mocha,3,137.46,412.38
2025-04-08,S03,Bengaluru,Espresso,1,45.23,45.23
2025-04-08,S03,Bengaluru,Latte,6,67.05,402.3
2025-04-08,S03,Bengaluru,Cappuccino,6,93.73,562.38
